,Date,maxtemp,mintemp,pressure,humidity,mean wind speed,weather,cloud
0,31.12.2020,24.0,15.0,757.8,88.0,1.375,Haze,"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 3000 m"
1,30.12.2020,24.0,10.0,763.1,82.0,2.0625,Haze,No Significant Clouds
2,29.12.2020,24.0,12.0,762.4,88.0,1.2765957446808511,Haze,No Significant Clouds
3,28.12.2020,26.0,14.0,757.8,37.0,1.5625,Mist,No Significant Clouds
4,27.12.2020,28.0,12.0,760.8,82.0,1.3541666666666667,Haze,No Significant Clouds
5,26.12.2020,24.0,12.0,760.1,94.0,1.836734693877551,Haze,No Significant Clouds
6,25.12.2020,33.0,23.0,757.4,83.0,1.76,Haze,No Significant Clouds
7,24.12.2020,25.0,16.0,758.6,44.0,2.5,Haze,No Significant Clouds
8,23.12.2020,30.0,19.0,757.4,83.0,1.0638297872340425,Haze,No Significant Clouds
9,22.12.2020,34.0,29.0,753.6,63.0,6.833333333333333,Haze,Few clouds (10-30%) 600 m
10,21.12.2020,32.0,20.0,755.9,59.0,3.1458333333333335,Haze,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 3000 m"
11,20.12.2020,32.0,23.0,757.4,89.0,4.8125,Haze,Scattered clouds (40-50%) 600 m
12,19.12.2020,38.0,26.0,755.9,55.0,2.4489795918367347,Haze,No Significant Clouds
13,18.12.2020,35.0,23.0,755.9,89.0,4.583333333333333,Haze,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 3000 m"
14,17.12.2020,32.0,24.0,753.6,79.0,2.891304347826087,Haze,"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 3000 m"
15,16.12.2020,36.0,28.0,752.8,79.0,6.583333333333333,Haze,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 750 m"
16,15.12.2020,32.0,21.0,756.6,94.0,3.3,Haze,"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 3000 m"
17,14.12.2020,36.0,25.0,751.3,89.0,4.702127659574468,Haze,"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 3000 m"
